art_code,product_name,position,rating_value,art_category_level_2_name,is_adtech,base_price,action_price
1000351084,Молоко Parmalat безлактозное ультрапастеризованное 3.5% 1л,1,5.0,Покупайте за 1₽,True,179.0,
1000189545,Сметана President 30% 350г,2,4.9,Покупайте за 1₽,True,229.0,
8000075252,Напиток со вкусом клубники Fanta Strawberry 355мл,3,,Покупайте за 1₽,True,199.0,169.0
8000075254,Напиток со вкусом персика Fanta Peach 355мл,4,,Покупайте за 1₽,True,169.0,
8000075258,Напиток со вкусом ежевики Dr. Pepper Blackberry 355мл,5,5.0,Покупайте за 1₽,True,179.0,159.0
1000382911,Драже M&M's с арахисом и молочным шоколадом 145г,6,5.0,Покупайте за 1₽,False,189.0,
8000053553,Смесь сыров Простосыр тертый 47% 100г,7,4.8,Покупайте за 1₽,False,129.0,99.0
1000000732,Молоко сгущенное Коровка из Кореновки 8.5% 270г,8,5.0,Покупайте за 1₽,False,183.0,130.0
1000520330,Зефир Lucky Days со вкусом черной смородины 250г,9,4.7,Покупайте за 1₽,False,98.0,
1042349909,Печенье Lotte в глазури Choco Pie 336,10,4.9,Покупайте за 1₽,False,228.0,177.0
1000453156,Творог Село Зеленое обезжиренный 300г,11,4.9,Покупайте за 1₽,False,119.0,
1000422920,Подушечки Любятово с молочной начинкой 220г,12,4.8,Покупайте за 1₽,False,135.0,109.0
8000085687,Колбаса Фирменная сырокопченая Дубки 180г,13,4.6,Покупайте за 1₽,False,211.0,99.0
1000367065,Хот-дог зерновой со свиной сосиской и микс-начинкой,14,4.7,Покупайте за 1₽,False,90.0,
1000367067,Хот-дог пшеничный с говяжьей сосиской и микс-начинкой,15,4.8,Покупайте за 1₽,False,90.0,
1000309408,Вода Святой Источник Светлячок детская негазированная 5л,16,4.9,Покупайте за 1₽,False,169.0,139.0
1000367069,Хот-дог зерновой с куриной сосиской и микс-начинкой,17,4.6,Покупайте за 1₽,False,90.0,
1000472748,Ветчина Знаменские деликатесы по-швейцарскому рецепту нарезка 130г,18,4.9,Покупайте за 1₽,False,165.0,
1000545577,Кисломолочный напиток Exponenta Черника-голубика обезжиренный 500г,19,4.8,Покупайте за 1₽,False,169.0,
1000367062,Хот-дог пшеничный со свиной сосиской и микс начинкой,20,4.6,Покупайте за 1₽,False,90.0,
1045250003,Карбонад Егорьевская ФКГ По-Егорьевски копчено-вареная нарезка 115г,21,4.9,Покупайте за 1₽,False,203.0,169.0
1000070528,Сыр Galbani Моцарелла 45% 125г,22,4.8,Покупайте за 1₽,False,169.0,
1000220777,Жидкое мыло Мое солнышко c маслом авокадо детское с 6 месяцев 400мл,23,4.9,Покупайте за 1₽,False,160.0,108.0
1000547192,Маслины без косточки Premiere of Taste 170г,24,4.8,Покупайте за 1₽,False,180.0,109.0
1899912620,Масса творожная Брянский МК с изюмом 20% 500г,25,4.9,Покупайте за 1₽,False,189.0,159.0
1377100002,Рис Prosto Краснодарский круглозерный 8пак*62.5г,26,4.9,Покупайте за 1₽,False,132.0,107.0
1000113319,Чистящее средство от жира Sanita 1 Минута для плит и духовок 500мл,27,4.9,Покупайте за 1₽,False,252.0,209.0
1000446961,Колбаса Клинский МК Молочная вареная нарезка 190г,28,4.9,Покупайте за 1₽,False,160.0,139.0
1000221497,Мыло для интимной гигиены Evo Intimate рН 5.2 молочная кислота 250мл,29,5.0,Покупайте за 1₽,False,199.0,125.0
1000302472,Кукуруза Green Ray Молодая без сахара 340г,30,4.8,Покупайте за 1₽,False,184.0,
1000566833,Сыр Белебеевский Белебеевский нарезка 45% 120г,31,4.8,Покупайте за 1₽,False,194.0,149.0
1000277356,Чай черный Akbar Ceylon 100пак,32,4.9,Покупайте за 1₽,False,399.0,249.0
1000505365,Сыр Sveza творожный с авокадо 60% 150г,33,4.9,Покупайте за 1₽,False,,
1000038991,Молочко для тела Evo Пантенол 150мл,34,5.0,Покупайте за 1₽,False,219.0,169.0
1000457186,Напиток Добрый Лимон-лайм 1.5л,35,4.9,Покупайте за 1₽,False,139.0,
1000233524,Рулет Майский с маком и изюмом Черемушки 300г,36,4.9,Покупайте за 1₽,False,139.0,
1000567452,Чечевица Красная колотая Premiere of Taste 450г,37,4.8,Покупайте за 1₽,False,174.0,
1000524149,Молоко сгущенное Коровка Из Кореновки пломбир крем-брюле 8.5% 270г,38,4.8,Покупайте за 1₽,False,206.0,179.0
1000463073,Сливки Простоквашино ультрапастеризованные 20% 500г,39,4.8,Покупайте за 1₽,False,263.0,214.0
1000461809,Сметана Брест-Литовск 20% 300г,40,4.9,Покупайте за 1₽,False,99.0,
3392166504,Сыр плавленый Карат Шоколадный 30% 230г,41,4.9,Покупайте за 1₽,False,169.0,139.0
1000162281,Зубная паста Splat Juicy Киви-клубника укрепляющая детская 35мл,42,4.7,Покупайте за 1₽,False,194.0,170.0
1000299257,Чай зеленый Richard Royal Melissa мелисса мята лемонграсс 25пак 37.5г,43,4.8,Покупайте за 1₽,False,179.0,134.0
1000457201,Индиан тоник Rich 1л,44,4.7,Покупайте за 1₽,False,119.0,
1000202167,Чипсы картофельные Naturals классические с солью 100г,45,4.8,Покупайте за 1₽,False,160.0,139.0
1000455350,Лечо Пиканта 450г,46,4.9,Покупайте за 1₽,False,149.0,
1000111151,Щупальца кальмара Балтийский берег в чесночном соусе 210г,47,4.7,Покупайте за 1₽,False,194.0,176.0
1000293877,Напиток Саперави Натахтари 500мл,48,4.9,Покупайте за 1₽,False,119.0,
8000048332,Нектар Добрый из ананасов и яблок 1л,49,4.8,Покупайте за 1₽,False,183.0,164.0
8000070740,Зефир ванильный без сахара Жизель 130г,50,5.0,Покупайте за 1₽,False,139.0,
1000562586,Мёд Иванова Пасека горный 250г,51,4.8,Покупайте за 1₽,False,190.0,
