art_code,product_name,position,rating_value,art_category_level_2_name,is_adtech,base_price,action_price
1000000732,Молоко сгущенное Коровка из Кореновки 8.5% 270г,57,5.0,Покупайте за 1₽,False,183.0,130.0
1000452314,Сыр Село Зеленое Гауда Премиум нарезка 40% 130г,58,4.9,Покупайте за 1₽,False,189.0,149.0
1000584737,Напиток Rich Спритц Красный апельсин безалкогольный 1л,59,4.7,Покупайте за 1₽,False,119.0,
1000229307,Солянка по-домашнему Главсуп замороженная 250г,60,4.8,Покупайте за 1₽,False,159.0,
1000385807,Соус Sen soy Premium Чили шрирача 310г,61,4.7,Покупайте за 1₽,False,252.0,186.0
1000293877,Напиток Саперави Натахтари 500мл,62,4.9,Покупайте за 1₽,False,119.0,
1000221483,Крем для ног Evo c мочевиной 75мл,63,4.9,Покупайте за 1₽,False,169.0,119.0
1000278675,Нектар Мамина дача тыквенный с мякотью 750мл,64,4.8,Покупайте за 1₽,False,169.0,
1000277358,Чай черный Beta Tea Mix Fruit 90г,65,4.7,Покупайте за 1₽,False,189.0,
1000189545,Сметана President 30% 350г,66,4.9,Покупайте за 1₽,False,229.0,
1000463073,Сливки Простоквашино ультрапастеризованные 20% 500г,67,4.8,Покупайте за 1₽,False,263.0,214.0
1000229306,Борщ с курицей Главсуп замороженный 250г,68,4.8,Покупайте за 1₽,False,171.0,156.0
1000440467,Напиток Fancy 1.5л,69,4.8,Покупайте за 1₽,False,114.0,
1000520330,Зефир Lucky Days со вкусом черной смородины 250г,70,4.7,Покупайте за 1₽,False,98.0,
1000351084,Молоко Parmalat безлактозное ультрапастеризованное 3.5% 1л,71,5.0,Покупайте за 1₽,False,179.0,
1000038991,Молочко для тела Evo Пантенол 150мл,72,5.0,Покупайте за 1₽,False,219.0,169.0
1000526133,Нектар Апельсиновый Premiere of Taste 1л,73,4.4,Покупайте за 1₽,False,179.0,156.0
1000457201,Индиан тоник Rich 1л,74,4.7,Покупайте за 1₽,False,119.0,
1000277356,Чай черный Akbar Ceylon 100пак,75,4.9,Покупайте за 1₽,False,399.0,249.0
1000505365,Сыр Sveza творожный с авокадо 60% 150г,76,4.9,Покупайте за 1₽,False,,
1000111732,Конфеты Красный октябрь Ирис Золотой ключик 250г,77,4.8,Покупайте за 1₽,False,194.0,168.0
1000435414,Масло детское Мое солнышко с алоэ 200мл,78,4.6,Покупайте за 1₽,False,212.0,169.0
1000202167,Чипсы картофельные Naturals классические с солью 100г,79,4.8,Покупайте за 1₽,False,160.0,139.0
8000043621,Батончик глазированный Bionova с коллагеном Печенье-крем 40г,80,5.0,Покупайте за 1₽,False,104.0,
1000526134,Нектар манговый Premiere of taste 1л,81,4.7,Покупайте за 1₽,False,189.0,136.0
1000460884,Горошек зелёный быстрозамороженный Premiere of Taste 400г,82,4.6,Покупайте за 1₽,False,129.0,104.0
1000296569,Ломтики манго в сиропе Premiere of Taste 425г,83,4.5,Покупайте за 1₽,False,199.0,161.0
1000112244,Конфеты Рот фронт Коровка молочная 250г,84,4.9,Покупайте за 1₽,False,209.0,
1000302693,Батончик протеиновый Bombbar Пудинг Манго-банан 60г,85,4.4,Покупайте за 1₽,False,179.0,109.0
1000302690,Батончик Bombbar протеиновый Фисташковый пломбир 60г,86,4.9,Покупайте за 1₽,False,153.0,139.0
1000273987,Печенье Овсяное с кусочками шоколада Хлебный спас 250г,87,4.7,Покупайте за 1₽,False,166.0,109.0
1000299257,Чай зеленый Richard Royal Melissa мелисса мята лемонграсс 25пак 37.5г,88,4.8,Покупайте за 1₽,False,179.0,134.0
1000370125,Конфеты жевательные со вкусом апельсина вишни малины и клубники Mamba 79.5г,89,4.8,Покупайте за 1₽,False,159.0,
1049993164,Губка для обуви Salton для гладкой кожи черная,90,4.9,Покупайте за 1₽,False,194.0,109.0
1000203889,Чай зеленый Richard Royal Green байховый 25пак,91,5.0,Покупайте за 1₽,False,179.0,128.0
1000286796,Напиток Schweppes Citrus Mix безалкогольный 330мл,92,5.0,Покупайте за 1₽,False,129.0,
1000469493,Сгущенка Поречский КЗ Сметанин с сахаром 1% 1.25кг,93,4.2,Покупайте за 1₽,False,204.0,161.0
1000396703,Молоко Магнит цельное концентрированное 300г,94,4.6,Покупайте за 1₽,False,129.0,104.0
1000155122,Маслины Бондюэль с косточкой 300г,95,4.9,Покупайте за 1₽,False,198.0,
1000247882,Шоколад Red Delight Темный с апельсином и миндалем 70г,96,4.8,Покупайте за 1₽,False,223.0,
1000216535,Чай зеленый Зеленый Дракон крупнолистовой 100г,97,4.7,Покупайте за 1₽,False,139.0,119.0
1000524149,Молоко сгущенное Коровка Из Кореновки пломбир крем-брюле 8.5% 270г,98,4.8,Покупайте за 1₽,False,206.0,179.0
1000132400,Кисель Ростагроэкспорт Клюквенный 500мл,99,4.9,Покупайте за 1₽,False,99.0,
1000299617,Пятновыводитель Grass G-oxi для цветных вещей спрей 600мл,100,4.8,Покупайте за 1₽,False,219.0,139.0
1000460885,Кукуруза сладкая в зернах замороженная Premiere of Taste 400г,101,4.7,Покупайте за 1₽,False,179.0,149.0
1000578606,Напиток кисломолочный Спа эффект Actitan 0.5% 200мл,102,4.7,Покупайте за 1₽,False,99.0,
8000066532,Макароны со свеклой Dalla Costa Hello Kitty 250г,103,,Покупайте за 1₽,False,349.0,228.0
8000041737,Борщ по-домашнему Delilabs 300г,104,3.0,Покупайте за 1₽,False,259.0,230.0
8000050658,Напиток винограда с кусочками желе Sac Sac Coco Rich 280мл,105,4.6,Покупайте за 1₽,False,249.0,
